First,Last,Nickname,Date of Birth,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt,SLpM,Str.Acc,SApM,Str.Def,TD.Avg,TD.Acc,TD.Def,Sub.Avg
Eddie,Alvarez,,Jan 11 1984,5' 9",155 lbs.,69.0",Orthodox,29,6,0,--,4.32,41,4.39,55,2.92,36,92,0.5
Jaime,Alvarez,,Mar 08 1988,5' 8",125 lbs.,69.0",Orthodox,6,1,0,--,2.73,40,4.53,56,1.00,33,50,0.0
Joel,Alvarez,El Fenomeno,Mar 02 1994,6' 3",155 lbs.,77.0",Orthodox,18,2,0,--,2.84,37,3.31,53,0.00,0,0,1.6
Thiago,Alves,Pitbull,Oct 03 1983,5' 9",170 lbs.,70.0",Orthodox,23,15,0,--,3.73,41,3.42,62,0.71,60,63,0.3
Anthony,Alves,,--,--,--,--,,1,4,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Amilcar,Alves,,Aug 08 1988,6' 0",170 lbs.,--,Southpaw,15,12,0,--,0.50,46,2.02,30,0.00,0,53,0.0
Warlley,Alves,,Jan 04 1991,5' 11",170 lbs.,72.0",Orthodox,15,4,0,--,3.09,47,3.62,50,1.48,54,75,1.0
Rafael,Alves,The Turn,Oct 10 1990,5' 8",155 lbs.,68.0",Orthodox,19,9,0,--,2.02,45,3.66,59,0.00,0,100,1.9
Sam,Alvey,Smile'N,May 06 1986,6' 2",205 lbs.,75.0",Southpaw,33,15,1,--,3.20,43,3.44,54,0.07,16,82,0.1
Andre,Amado,Dida,--,6' 0",154 lbs.,--,Orthodox,6,4,1,--,2.27,24,5.91,63,0.00,0,20,0.0
Adlan,Amagov,Borz,Oct 30 1986,6' 2",170 lbs.,76.0",Orthodox,14,2,1,--,3.29,47,0.82,78,5.84,56,100,0.0
Maiara,Amanajas dos Santos,,Jul 11 1987,5' 5",115 lbs.,--,Southpaw,7,3,0,--,5.53,35,24.47,33,0.00,0,100,0.0
Chris,Amarante,,--,--,185 lbs.,--,,2,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Jimmy,Ambriz,The Titan,Jan 26 1970,6' 2",315 lbs.,--,Southpaw,17,21,1,--,0.83,29,3.76,40,3.13,57,100,0.8
JJ,Ambrose,,--,5' 10",170 lbs.,--,Orthodox,28,7,0,--,3.16,69,6.32,33,0.00,0,50,0.0
Alen,Amedovski,,Apr 06 1988,5' 10",185 lbs.,74.0",Orthodox,8,2,0,--,0.52,28,3.14,37,0.00,0,0,0.0
Makwan,Amirkhani,Mr. Finland,Nov 08 1988,5' 10",145 lbs.,72.0",Southpaw,16,5,0,--,1.42,44,2.63,51,3.37,37,57,1.4
Bertrand,Amoussou,,--,5' 8",190 lbs.,--,Orthodox,1,1,0,--,6.75,39,2.01,83,0.00,0,0,0.0
Karl,Amoussou,The Psycho,Nov 21 1985,5' 11",185 lbs.,--,Orthodox,27,7,2,--,1.47,34,2.67,54,0.00,0,25,1.0
Eryk,Anders,Ya Boi,Apr 21 1987,6' 1",185 lbs.,75.0",Southpaw,13,5,0,--,3.23,46,4.15,51,1.62,35,80,0.1
Matt,Andersen,,May 29 1971,6' 2",230 lbs.,--,Southpaw,14,8,1,--,0.00,0,0.00,0,0.00,0,0,0.0
Andy,Anderson,The Hammer,Jul 16 1974,5' 6",240 lbs.,--,,0,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Lowell,Anderson,,--,5' 6",160 lbs.,--,Orthodox,0,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Corey,Anderson,Overtime,Sep 22 1989,6' 3",205 lbs.,79.0",Orthodox,14,5,0,--,4.43,46,2.22,59,4.89,50,83,0.0
Derek,Anderson,Barbaric,Feb 02 1990,6' 0",155 lbs.,--,,14,3,0,--,3.97,37,3.08,61,0.34,14,60,0.0
Megan,Anderson,,Feb 11 1990,6' 0",145 lbs.,72.0",Orthodox,11,5,0,--,1.76,46,3.35,37,0.52,25,53,0.5
Alex,Andrade,El Toro,May 14 1974,5' 11",200 lbs.,--,Orthodox,10,5,0,--,0.20,36,2.60,53,0.00,0,25,0.8
Jessica,Andrade,Bate Estaca,Sep 25 1991,5' 1",115 lbs.,62.0",Orthodox,21,9,0,--,6.15,50,5.20,52,2.97,55,66,0.4
Viscardi,Andrade,,Mar 08 1984,5' 11",170 lbs.,75.0",Orthodox,19,6,0,--,3.26,42,2.77,63,1.93,50,66,0.3
Jermaine,Andre,,--,5' 7",200 lbs.,--,Orthodox,14,4,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Dylan,Andrews,The Villain,Nov 15 1979,6' 1",185 lbs.,74.0",Switch,18,7,0,--,2.21,50,2.72,46,2.83,50,57,0.4
Reese,Andy,Riptide,Mar 31 1973,6' 0",205 lbs.,--,Orthodox,7,3,0,--,2.87,50,3.50,58,0.67,20,40,0.0
Julius,Anglickas,,Jul 23 1991,6' 3",205 lbs.,--,Orthodox,5,1,0,--,4.62,78,1.86,50,4.47,50,60,1.1
Collin,Anglin,,Feb 20 1993,5' 9",145 lbs.,71.0",Orthodox,8,1,0,--,5.87,55,3.47,58,3.00,75,100,0.0
Yoji,Anjo,Mr. 200%,Mar 28 1967,5' 11",205 lbs.,--,Orthodox,0,5,1,--,0.00,0,3.13,25,0.00,0,0,0.0
Magomed,Ankalaev,,Jun 02 1992,6' 3",205 lbs.,75.0",Orthodox,15,1,0,--,3.41,53,1.78,65,1.18,33,85,0.0
Gadzhimurad,Antigulov,,Feb 09 1987,5' 11",205 lbs.,70.0",Orthodox,20,8,0,--,2.08,55,4.21,40,5.08,36,0,1.4
Adam,Antolin,Captain Chaos,Feb 28 1982,5' 5",125 lbs.,63.0",Orthodox,12,3,0,--,5.73,52,5.00,69,0.00,0,100,0.0
Angelo,Antonio,,--,--,205 lbs.,--,Orthodox,1,4,0,--,1.09,50,7.64,50,0.00,0,0,0.0
Azunna,Anyanwu,Zulu,Aug 05 1981,6' 1",251 lbs.,--,Orthodox,14,5,0,--,2.47,42,2.47,69,0.65,100,0,0.0
Shinsho,Anzai,Animal,Dec 01 1985,5' 7",170 lbs.,70.0",Orthodox,10,3,0,--,3.23,58,3.75,45,1.83,16,75,0.0
Shinya,Aoki,Tobikan Judan,May 09 1983,5' 11",154 lbs.,--,Southpaw,39,7,0,--,0.97,58,1.25,58,2.54,41,60,4.0
Aori,Qileng,The Mongolian Murderer,Jun 25 1993,5' 7",125 lbs.,69.0",Orthodox,18,7,0,--,7.73,44,12.60,46,3.00,75,100,0.0
Josh,Appelt,,Jun 19 1983,5' 10",255 lbs.,--,Southpaw,15,7,0,--,1.35,40,11.50,32,0.00,0,33,0.0
Erik,Apple,,Aug 26 1977,6' 0",170 lbs.,--,Orthodox,10,3,0,--,0.00,0,0.54,81,0.00,0,0,8.1
Kenji,Arai,,Oct 05 1979,5' 10",145 lbs.,--,Southpaw,15,15,5,--,8.79,27,10.29,39,0.00,0,0,0.0
Romie,Aram,,Dec 02 1977,5' 10",170 lbs.,--,Orthodox,7,1,0,--,1.80,35,2.83,50,2.50,62,83,0.0
Felipe,Arantes,Sertanejo,Feb 09 1988,5' 8",135 lbs.,73.0",Orthodox,18,10,1,--,2.37,45,2.66,64,0.93,47,41,0.7
Igor,Araujo,,Dec 06 1980,6' 1",170 lbs.,77.0",Orthodox,25,9,0,--,1.52,42,2.86,49,0.86,15,22,0.6
Viviane,Araujo,Vivi,Nov 21 1986,5' 4",125 lbs.,68.0",Orthodox,10,3,0,--,5.14,47,5.48,59,2.10,60,94,0.3
Julio,Arce,,Oct 27 1989,5' 7",145 lbs.,70.0",Southpaw,16,4,0,--,4.25,36,2.87,67,0.58,30,93,0.6
Art,Arciniega,King Arthur,Oct 15 1981,5' 8",145 lbs.,--,,15,7,0,--,1.53,46,2.73,51,0.00,0,50,1.0
Tristan,Arenal,,--,--,155 lbs.,--,,7,4,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Hashem,Arkhagha,Cavaca,--,6' 2",185 lbs.,--,,6,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Andrei,Arlovski,The Pitbull,Feb 04 1979,6' 3",240 lbs.,77.0",Orthodox,31,20,0,--,3.62,44,2.95,57,0.45,36,78,0.2
Joey,Armstrong,,--,--,--,--,,5,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Austin,Arnett,,Oct 22 1991,6' 0",145 lbs.,72.0",Orthodox,16,6,0,--,4.52,41,6.38,62,0.44,18,57,0.2
Ricardo,Arona,The Brazilian Tiger,Jul 17 1978,5' 11",205 lbs.,--,Orthodox,14,5,0,--,1.66,48,1.15,57,2.41,48,58,1.2
Chalid,Arrab,Die Faust,May 28 1975,5' 11",205 lbs.,--,Orthodox,7,3,0,--,1.56,34,1.63,56,3.05,75,37,1.0
Akbarh,Arreola,El Caballero,Jan 14 1983,5' 10",155 lbs.,71.0",Southpaw,23,11,1,--,2.32,45,4.01,56,1.07,100,33,0.4
Matt,Arroyo,No Regard,Sep 01 1982,5' 10",170 lbs.,72.0",Orthodox,3,3,0,--,1.62,47,2.01,58,2.12,36,100,5.3
Antonio,Arroyo,,Jul 01 1989,6' 3",185 lbs.,73.0",Orthodox,9,4,0,--,3.08,70,1.72,44,1.40,41,32,0.3
Gilles,Arsene,,--,5' 9",190 lbs.,--,Southpaw,1,1,0,--,0.06,10,2.45,32,0.00,0,0,0.0
Veta,Arteaga,,--,5' 7",125 lbs.,--,,3,1,0,--,3.20,36,1.92,65,0.00,0,40,0.0
Cesar,Arzamendia,Goku,Jan 31 1991,5' 11",155 lbs.,--,Orthodox,8,3,0,--,5.37,45,5.20,56,7.32,75,0,2.4
Teddy,Ash,Bear,Dec 27 1989,6' 1",185 lbs.,73.0",Switch,14,5,0,--,7.27,61,6.80,28,0.00,0,100,0.0
Arman,Ashimov,Mustafa Ozturik,Jan 14 1992,5' 6",125 lbs.,--,,11,3,1,--,0.00,0,0.00,0,0.00,0,0,0.0
Askar,Askar,AK-47,Aug 19 1994,5' 7",145 lbs.,69.0",Orthodox,11,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Askar,Askarov,Bullet,Oct 09 1992,5' 6",125 lbs.,67.0",Orthodox,13,0,1,--,3.37,55,2.65,56,2.75,28,64,0.0
Cyril,Asker,Silverback,Dec 24 1985,6' 0",247 lbs.,74.0",Orthodox,9,4,0,--,3.35,39,5.82,35,4.41,62,100,0.9
Scott,Askham,,May 20 1988,6' 3",185 lbs.,75.0",Southpaw,14,4,0,--,3.03,46,3.52,52,0.44,18,65,0.7
Ben,Askren,Funky,Jul 18 1984,5' 11",170 lbs.,73.0",Orthodox,19,2,0,--,3.64,49,5.66,36,4.33,55,0,0.9
Ibo,Aslan,The Last Ottoman,Apr 23 1996,6' 3",205 lbs.,--,,8,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Tom,Aspinall,,Apr 11 1993,6' 5",256 lbs.,78.0",Orthodox,10,2,0,--,7.43,66,3.06,65,3.54,100,0,1.8
Bruno,Assis,Brunao,May 23 1992,6' 2",185 lbs.,--,Orthodox,8,4,0,--,1.27,43,3.20,36,2.00,50,66,1.0
Junior,Assuncao,,Jun 24 1981,5' 9",145 lbs.,72.0",Orthodox,16,6,0,--,3.31,62,2.06,44,2.43,24,66,0.7
Raphael,Assuncao,,Jul 19 1982,5' 5",135 lbs.,66.0",Orthodox,27,8,0,--,3.26,40,2.33,68,1.48,38,80,0.3
Bazigit,Atajev,Volk,--,6' 1",230 lbs.,--,Orthodox,17,1,0,--,0.87,41,3.14,49,1.00,33,0,0.0
Rich,Attonito,The Raging Bull,Jun 16 1977,5' 10",170 lbs.,72.0",Orthodox,10,5,0,--,2.28,47,2.13,59,0.74,37,75,0.0
Olivier,Aubin-Mercier,The Canadian Gangster,Feb 23 1989,5' 9",155 lbs.,70.0",Southpaw,11,5,0,--,2.48,51,2.97,55,2.36,33,70,0.5
Pat,Audinwood,Awesomely Awesome,Apr 16 1986,6' 0",155 lbs.,--,Orthodox,11,2,1,--,1.17,12,4.31,41,0.80,50,0,0.0
Jose,Augusto,Gugu,Mar 28 1992,6' 3",251 lbs.,--,,6,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Marcus,Aurelio,Maximus,Aug 18 1973,5' 10",155 lbs.,74.0",Orthodox,22,10,0,--,1.42,33,2.27,59,1.69,27,27,1.3
David,Avellan,,--,5' 9",185 lbs.,--,Orthodox,2,1,0,--,3.33,25,10.00,57,0.00,0,0,0.0
Blas,Avena,The Disciple,Jun 30 1983,6' 0",170 lbs.,74.0",Orthodox,8,7,0,--,2.34,47,3.36,43,2.37,80,50,1.8
Levi,Avera,,May 17 1982,6' 1",170 lbs.,--,,18,15,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Anthony,Avila,,Dec 29 1988,5' 7",145 lbs.,--,,13,5,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Chris,Avila,,Jan 16 1993,5' 10",145 lbs.,--,Orthodox,5,4,0,--,2.37,30,4.17,48,0.00,0,46,0.0
Julia,Avila,Raging Panda,May 11 1988,5' 7",135 lbs.,68.0",Orthodox,8,2,0,--,3.10,41,2.90,54,0.49,50,60,0.0
Saad,Awad,Assassin,Jun 07 1983,5' 11",155 lbs.,--,,20,9,0,--,2.13,26,1.87,60,0.50,16,100,0.5
Javy,Ayala,Eye Candy,Aug 20 1988,6' 1",265 lbs.,--,,10,5,0,--,0.83,25,5.00,33,0.00,0,0,0.0
Jessin,Ayari,,May 31 1992,6' 0",155 lbs.,73.0",Orthodox,16,6,0,--,3.53,37,3.59,58,0.00,0,50,0.3
Abu,Azaitar,Captain Morocco,Mar 10 1986,5' 9",185 lbs.,76.0",Orthodox,14,3,1,--,5.21,44,5.35,50,0.50,25,40,0.0
Ottman,Azaitar,Bulldozer,Feb 20 1990,5' 8",155 lbs.,71.0",Switch,13,0,0,--,8.43,57,1.76,67,0.00,0,100,0.0
Luiz,Azeredo,,Jun 10 1976,5' 9",154 lbs.,--,Orthodox,15,10,0,--,2.16,39,2.76,57,1.07,50,45,0.3
Luciano,Azevedo,,Jun 25 1981,6' 3",161 lbs.,--,Orthodox,17,9,1,--,0.76,45,1.97,27,2.28,11,0,0.0
Hunter,Azure,,Mar 02 1992,5' 8",145 lbs.,69.0",Orthodox,9,2,0,--,3.92,53,2.08,58,1.97,34,67,1.3
Niklas,Backstrom,,Aug 22 1989,6' 1",145 lbs.,--,Orthodox,11,3,0,--,1.12,41,3.65,40,2.92,80,72,2.2
Seth,Baczynski,The Polish Pistola,Oct 26 1981,6' 3",170 lbs.,75.0",Orthodox,20,14,0,--,3.08,31,3.14,51,0.89,16,48,0.8
Ryan,Bader,Darth,Jun 07 1983,6' 2",205 lbs.,74.0",Orthodox,23,5,0,--,2.82,43,1.39,71,3.37,44,80,0.4
Izabela,Badurek,,Jul 11 1991,5' 5",115 lbs.,--,Orthodox,6,3,0,--,3.74,71,4.90,32,1.75,12,100,0.0
Miguel,Baeza,Caramel Thunder,Aug 23 1992,6' 2",170 lbs.,74.0",Orthodox,10,0,0,--,4.64,55,3.89,50,0.80,40,100,1.2
Ali,Bagautinov,Puncher,Jun 10 1985,5' 4",125 lbs.,65.0",Orthodox,15,6,0,--,2.85,42,3.09,52,2.51,36,65,0.3
Mehdi,Baghdad,The Sultan,Apr 13 1985,6' 1",155 lbs.,--,Orthodox,11,5,0,--,3.13,30,4.56,46,0.00,0,33,0.0
Melsik,Baghdasaryan,The Gun,Jan 28 1992,5' 9",145 lbs.,70.0",Southpaw,5,1,0,--,6.80,64,3.80,53,0.00,0,75,0.0
Siyar,Bahadurzada,The Great,Apr 17 1984,5' 11",170 lbs.,73.0",Orthodox,24,8,1,--,2.91,40,3.23,49,1.32,61,62,0.3
Ignacio,Bahamondes,La Jaula,Aug 27 1997,6' 3",170 lbs.,75.0",Orthodox,11,4,0,--,7.91,41,6.40,51,0.00,0,100,0.0
Shamar,Bailey,,Sep 22 1982,5' 9",155 lbs.,75.0",Southpaw,16,11,0,--,1.56,20,3.91,69,1.50,33,37,0.0
Jordan,Bailey,,--,5' 9",145 lbs.,--,,6,3,0,--,1.74,40,0.29,0,4.35,100,0,4.3
